country_code,country_name,region,income_level,capital,latitude,longitude
SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income,Philipsburg,,
SYC,Seychelles,Sub-Saharan Africa ,High income,Victoria,-4.6309,55.4466
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Damascus,33.5146,36.3119
TCA,Turks and Caicos Islands,Latin America & Caribbean ,High income,Grand Turk,21.4602778,-71.141389
TCD,Chad,Sub-Saharan Africa ,Low income,N'Djamena,12.1048,15.0445
TGO,Togo,Sub-Saharan Africa ,Low income,Lome,6.1228,1.2255
THA,Thailand,East Asia & Pacific,Upper middle income,Bangkok,13.7308,100.521
TJK,Tajikistan,Europe & Central Asia,Lower middle income,Dushanbe,38.5878,68.7864
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,Ashgabat,37.9509,58.3794
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Dili,-8.56667,125.567
TON,Tonga,East Asia & Pacific,Upper middle income,Nuku'alofa,-21.136,-175.216
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,Port-of-Spain,10.6596,-61.4789
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Tunis,36.7899,10.21
TUR,Turkiye,Europe & Central Asia,Upper middle income,Ankara,39.7153,32.3606
TUV,Tuvalu,East Asia & Pacific,Upper middle income,Funafuti,-8.6314877,179.089567
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,Dodoma,-6.17486,35.7382
UGA,Uganda,Sub-Saharan Africa ,Low income,Kampala,0.314269,32.5729
UKR,Ukraine,Europe & Central Asia,Upper middle income,Kiev,50.4536,30.5038
URY,Uruguay,Latin America & Caribbean ,High income,Montevideo,-34.8941,-56.0675
USA,United States,North America,High income,Washington D.C.,38.8895,-77.032
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Tashkent,41.3052,69.269
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,Kingstown,13.2035,-61.2653
VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,Caracas,9.08165,-69.8371
VGB,British Virgin Islands,Latin America & Caribbean ,High income,Road Town,18.431389,-64.623056
VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income,Charlotte Amalie,18.3358,-64.8963
VNM,Viet Nam,East Asia & Pacific,Lower middle income,Hanoi,21.0069,105.825
VUT,Vanuatu,East Asia & Pacific,Lower middle income,Port-Vila,-17.7404,168.321
WSM,Samoa,East Asia & Pacific,Upper middle income,Apia,-13.8314,-171.752
XKX,Kosovo,Europe & Central Asia,Upper middle income,Pristina,42.565,20.926
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,Sana'a,15.352,44.2075
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,Pretoria,-25.746,28.1871
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,Lusaka,-15.3982,28.2937
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Harare,-17.8312,31.0672
