country_code,year,literacy_rate
SSF,2023,68.4389419555664
SSF,2022,68.1527099609375
SSF,2021,67.8382186889648
SSF,2020,67.8860397338867
SSF,2019,67.7253723144531
SSF,2018,67.1269226074219
SSF,2017,65.2480697631836
SSF,2016,64.8923568725586
SSA,2024,68.6818008422852
SSA,2023,68.43505859375
SSA,2022,68.1487503051758
SSA,2021,67.8341903686523
SSA,2020,67.8820037841797
SSA,2019,67.7212905883789
SSA,2018,67.1227493286133
SSA,2017,65.2436294555664
SSA,2016,64.8878936767578
TSS,2024,68.6856231689453
TSS,2023,68.4389419555664
TSS,2022,68.1527099609375
TSS,2021,67.8382186889648
TSS,2020,67.8860397338867
TSS,2019,67.7253723144531
TSS,2018,67.1269226074219
TSS,2017,65.2480697631836
TSS,2016,64.8923568725586
WLD,2024,87.7406997680664
WLD,2023,87.577392578125
WLD,2022,87.3925170898438
WLD,2021,87.1662521362305
WLD,2020,86.9843063354492
WLD,2019,86.7869186401367
WLD,2018,86.7647476196289
WLD,2017,86.4681015014648
WLD,2016,86.2807464599609
AFG,2021,37.2700004577637
AFG,2020,35.9865546430738
ALB,2023,97.6800003051758
ALB,2017,98.8199996948242
ARG,2020,99.1399993896484
ARM,2023,99.8399963378906
ARM,2022,99.8199996948242
ARM,2020,99.7900009155273
ARM,2017,99.7399978637695
ARM,2016,99.7399978637695
AZE,2023,99.7799987792969
AZE,2019,99.8000030517578
AZE,2017,99.7900009155273
AZE,2016,99.7900009155273
BHR,2024,97.8199996948242
BHR,2023,97.8499984741211
BHR,2022,97.870002746582
BGD,2022,79.0
BGD,2021,76.3600006103516
BGD,2020,74.9100036621094
BGD,2019,74.6800003051758
BGD,2018,73.9100036621094
BGD,2017,72.8899993896484
BGD,2016,72.7600021362305
BLR,2019,99.870002746582
BLZ,2022,87.879997253418
BEN,2022,51.3800010681152
BEN,2021,43.8300018310547
BEN,2019,49.0
BEN,2017,38.8699989318848
BTN,2022,64.9100036621094
BTN,2017,66.5599975585938
BOL,2023,95.5500030517578
BOL,2020,93.8499984741211
BRA,2024,94.8005123042056
BRA,2023,94.5839624750993
BRA,2022,94.3853874531348
BRA,2021,94.7848837154757
BRA,2020,94.7576490611664
BRA,2019,93.9019248012051
BRA,2018,93.2300033569336
BRA,2017,93.0800018310547
BRA,2016,92.8099975585938
BFA,2023,41.442033530681
BFA,2022,40.9199981689453
BFA,2021,36.9700012207031
BFA,2019,29.6599998474121
BFA,2018,39.3499984741211
BDI,2020,71.4078166079164
BDI,2017,68.379997253418
BDI,2016,65.6900024414062
CPV,2024,88.4700012207031
KHM,2021,71.9300003051758
KHM,2020,82.5991675957413
KHM,2019,87.6600036621094
CMR,2018,72.5500030517578
CAF,2019,42.439998626709
TCD,2019,30.6299991607666
TCD,2016,22.3099994659424
CHL,2017,96.4000015258789
CHN,2020,96.7399978637695
COL,2024,95.3399963378906
COL,2023,95.4625553716428
COL,2022,95.3138834471897
COL,2021,95.666552016916
COL,2020,95.6399993896484
COL,2019,95.25
COL,2018,95.0899963378906
COL,2017,94.8927138785262
COL,2016,94.6500015258789
COM,2021,75.8250571350015
COD,2020,65.6914486099044
COD,2018,73.5500030517578
COD,2016,77.0400009155273
CIV,2021,50.0
CIV,2019,56.9804529419494
CIV,2016,50.0400009155273
CUB,2019,97.6500015258789
DOM,2024,94.0299987792969
DOM,2023,94.3123758236054
DOM,2022,93.7022375646963
DOM,2021,93.7368933438107
DOM,2020,93.7009782823312
DOM,2019,93.6758208343989
DOM,2018,93.4355831240379
DOM,2017,93.232235984521
DOM,2016,93.7799987792969
ECU,2022,96.2600021362305
ECU,2021,94.4800033569336
ECU,2020,93.629997253418
ECU,2017,92.8300018310547
ECU,2016,94.3499984741211
EGY,2022,79.4565788949049
EGY,2021,82.083331279425
EGY,2017,71.1699981689453
SLV,2024,89.7699966430664
SLV,2023,89.8499984741211
SLV,2022,89.3518526572018
SLV,2021,89.0586486323527
SLV,2020,89.9800033569336
SLV,2019,89.1399993896484
SLV,2018,89.0100021362305
SLV,2017,88.4800033569336
SLV,2016,88.1399993896484
SWZ,2022,90.75
ETH,2022,60.4599990844727
ETH,2021,54.8861260079206
ETH,2019,55.0499992370605
ETH,2016,47.4900016784668
GAB,2021,88.8600006103516
GMB,2021,51.6399993896484
GMB,2018,53.1599998474121
GEO,2024,99.6800003051758
GEO,2023,99.5599975585938
GEO,2022,99.5699996948242
GEO,2021,99.9656063568431
GEO,2020,99.9403171161963
GEO,2019,99.9020818812072
