country_code,year,gni_per_capita
IDB,2024,1808.07579267429
IDB,2023,2110.08413586526
IDB,2022,2231.18429576123
IDB,2021,2127.76806534773
IDB,2020,1922.57602470729
IDB,2019,1934.69269091803
IDB,2018,1824.15742719294
IDB,2017,1776.55579031531
IDB,2016,1869.73208020919
IDB,2015,1966.4669278744
IDX,2024,1364.73371105372
IDX,2023,1347.31163182067
IDX,2022,1321.46337680227
IDX,2021,1240.87085343556
IDX,2020,1174.30468839864
IDX,2019,1194.43828696943
IDX,2018,1143.40504872229
IDX,2017,1054.73554842367
IDX,2016,1023.3319871972
IDX,2015,1017.27634024458
IDA,2024,1518.89630101915
IDA,2023,1613.15669307858
IDA,2022,1639.18876099313
IDA,2021,1551.08727236923
IDA,2020,1436.44216757367
IDA,2019,1454.29664788549
IDA,2018,1382.89182114723
IDA,2017,1309.11468419834
IDA,2016,1322.13320826244
IDA,2015,1352.90603782217
LTE,2024,12818.2018649917
LTE,2023,12658.4701673624
LTE,2022,12000.5755552711
LTE,2021,11149.3642744759
LTE,2020,10033.5011275005
LTE,2019,10151.2834939382
LTE,2018,9469.64983871632
LTE,2017,8663.98633350225
LTE,2016,8458.86779961793
LTE,2015,8614.29258802536
LCN,2024,9897.78632968313
LCN,2023,9363.42125711391
LCN,2022,8596.84876975449
LCN,2021,7981.79286629945
LCN,2020,7487.16168381769
LCN,2019,8568.19546653054
LCN,2018,8483.55677805826
LCN,2017,8167.3601916688
LCN,2016,8304.86578170817
LCN,2015,9088.33729124492
LAC,2024,9634.3556453219
LAC,2023,9101.51650802502
LAC,2022,8351.00693010608
LAC,2021,7765.44476204419
LAC,2020,7324.28303390113
LAC,2019,8394.09604744509
LAC,2018,8317.70968740116
LAC,2017,8027.58371500772
LAC,2016,8156.33973836225
LAC,2015,8920.15472066265
TLA,2024,9756.96201523275
TLA,2023,9227.27754676829
TLA,2022,8463.40688538706
TLA,2021,7860.67892697172
TLA,2020,7377.66512258763
TLA,2019,8456.50032672419
TLA,2018,8381.28153808224
TLA,2017,8073.56627462221
TLA,2016,8225.11140138931
TLA,2015,9033.78918747428
LDC,2024,1291.05573686149
LDC,2023,1282.8185899041
LDC,2022,1249.57994147398
LDC,2021,1155.41413938529
LDC,2020,1093.9513087048
LDC,2019,1114.9073044534
LDC,2018,1057.86692825753
LDC,2017,979.006850826233
LDC,2016,965.916993097215
LDC,2015,998.793897971647
LMY,2024,5970.59340642176
LMY,2023,5951.19739238166
LMY,2022,5691.38974923044
LMY,2021,5302.33816917503
LMY,2020,4804.72588471122
LMY,2019,4971.12853168189
LMY,2018,4738.40276065697
LMY,2017,4427.01712734776
LMY,2016,4328.89587977493
LMY,2015,4371.29579016403
MEA,2024,6275.30747739461
MEA,2023,6293.14071651614
MEA,2022,6007.61460478878
MEA,2021,5386.93100893881
MEA,2020,5035.11937261864
MEA,2019,5483.88471464394
MEA,2018,5383.345713231
MEA,2017,5152.22377885002
MEA,2016,5334.74923055389
MEA,2015,5553.54115087628
MNA,2024,2914.38390322034
MNA,2023,2940.29885121424
MNA,2022,2855.3218863702
MNA,2021,2636.04552340499
MNA,2020,2507.91151610037
MNA,2019,2774.5094047982
MNA,2018,2851.4389264201
MNA,2017,2826.86041436464
MNA,2016,2885.22119488001
MNA,2015,2910.40518520273
TMN,2024,2915.88188847978
TMN,2023,2930.52064308807
TMN,2022,2842.09621873145
TMN,2021,2624.57528563681
TMN,2020,2499.59951706581
TMN,2019,2764.6585640229
TMN,2018,2842.23446233848
TMN,2017,2819.32796676439
TMN,2016,2878.31175107166
TMN,2015,2905.27381122492
MIC,2024,6524.06350122183
MIC,2023,6493.45956516633
MIC,2022,6199.06090917955
MIC,2021,5766.22541610974
MIC,2020,5213.56201046739
MIC,2019,5385.2202459953
MIC,2018,5124.1679536256
MIC,2017,4777.27112766958
MIC,2016,4661.36621586118
MIC,2015,4698.5226392255
NAC,2024,80242.0713550042
NAC,2023,77315.936868197
NAC,2022,74890.689065418
NAC,2021,69395.6097837059
NAC,2020,62767.9227004865
NAC,2019,63917.7150940239
NAC,2018,61208.8089314682
NAC,2017,57320.8102814963
NAC,2016,55608.076219021
NAC,2015,55527.4433282828
OED,2024,47119.1916020071
OED,2023,46413.749536133
OED,2022,45728.4858316314
OED,2021,43126.8643739301
OED,2020,39105.7814005569
OED,2019,40558.3589704264
OED,2018,39251.2785293518
OED,2017,36833.2008188117
OED,2016,36658.2411802322
OED,2015,37508.8822773081
OSS,2024,14976.0670271432
OSS,2023,14621.3831805793
OSS,2022,13874.0652067981
OSS,2021,12928.5803679641
OSS,2020,11924.597971825
OSS,2019,12992.0841338095
OSS,2018,12224.7405967948
OSS,2017,11084.6230848943
OSS,2016,10818.8398037359
OSS,2015,11107.4991078394
PSS,2024,4380.52307042885
PSS,2023,4323.44069855523
PSS,2022,4096.14722510116
PSS,2021,3727.98133895146
PSS,2020,3804.69427176154
PSS,2019,4265.85330660575
PSS,2018,4156.97947062088
PSS,2017,3866.39875047873
PSS,2016,3815.81230921428
PSS,2015,3774.57540135874
PST,2024,54750.9501669972
PST,2023,54081.6584582533
PST,2022,53270.1003077094
PST,2021,50140.1323406414
PST,2020,45399.8000983099
PST,2019,46932.5010235189
PST,2018,45263.6334329166
PST,2017,42321.1603156409
PST,2016,41927.2877057081
PST,2015,42702.7135237272
PRE,2024,1453.70309167177
PRE,2023,1628.09855954052
PRE,2022,1655.75925358795
PRE,2021,1556.83949761636
PRE,2020,1440.99756461079
PRE,2019,1460.61888982429
PRE,2018,1339.51354195247
PRE,2017,1313.76027576184
PRE,2016,1460.37191740731
PRE,2015,1641.43575295222
SST,2024,14172.7462693778
SST,2023,13788.8737128494
SST,2022,12728.2754308412
SST,2021,11704.4736789018
SST,2020,10857.5003168094
SST,2019,11957.0818805841
SST,2018,11363.9051640158
SST,2017,10548.7698951725
SST,2016,10420.2082212228
SST,2015,10844.7507010416
SAS,2024,2662.20844152326
SAS,2023,2603.015040151
SAS,2022,2438.08552001232
SAS,2021,2222.5019283554
SAS,2020,1957.0045248745
SAS,2019,2105.40954764716
SAS,2018,1998.71985787588
SAS,2017,1800.11474991625
SAS,2016,1664.04598955698
SAS,2015,1561.6737212224
TSA,2024,2662.20844152326
TSA,2023,2603.015040151
TSA,2022,2438.08552001232
TSA,2021,2222.5019283554
TSA,2020,1957.0045248745
TSA,2019,2105.40954764716
TSA,2018,1998.71985787588
TSA,2017,1800.11474991625
TSA,2016,1664.04598955698
TSA,2015,1561.6737212224
SSF,2024,1597.37591752611
SSF,2023,1767.64543143025
SSF,2022,1805.67572711322
SSF,2021,1721.62514917612
SSF,2020,1586.80149319281
SSF,2019,1616.74480693695
SSF,2018,1508.44087158728
SSF,2017,1457.86889981012
SSF,2016,1552.78017531747
SSF,2015,1729.55753080883
SSA,2024,1652.17079684644
SSA,2023,1850.1190870221
SSA,2022,1900.17211934067
SSA,2021,1815.33773974627
SSA,2020,1671.92298752264
SSA,2019,1708.8440557845
SSA,2018,1594.72677108945
SSA,2017,1545.23538381744
SSA,2016,1656.44314987725
SSA,2015,1858.82908086925
TSS,2024,1597.37591752611
TSS,2023,1767.64543143025
TSS,2022,1805.67572711322
TSS,2021,1721.62514917612
TSS,2020,1586.80149319281
TSS,2019,1616.74480693695
TSS,2018,1508.44087158728
TSS,2017,1457.86889981012
TSS,2016,1552.78017531747
TSS,2015,1729.55753080883
WLD,2024,13442.5002837166
WLD,2023,13326.702099959
WLD,2022,12984.7385104556
WLD,2021,12194.1366522851
WLD,2020,11100.7556875274
WLD,2019,11538.101314082
WLD,2018,11106.9628910125
WLD,2017,10409.2582638968
WLD,2016,10335.1044245316
WLD,2015,10591.4941356414
AFG,2023,370.0
AFG,2022,370.0
AFG,2021,380.0
AFG,2020,490.0
AFG,2019,520.0
AFG,2018,520.0
AFG,2017,530.0
AFG,2016,560.0
AFG,2015,590.0
ALB,2024,9910.0
ALB,2023,8730.0
ALB,2022,7720.0
ALB,2021,6940.0
ALB,2020,5970.0
ALB,2019,5900.0
ALB,2018,5400.0
ALB,2017,4700.0
ALB,2016,4670.0
ALB,2015,4660.0
DZA,2024,5370.0
DZA,2023,4950.0
DZA,2022,4430.0
DZA,2021,4120.0
DZA,2020,4020.0
DZA,2019,4480.0
DZA,2018,4450.0
DZA,2017,4440.0
DZA,2016,4920.0
DZA,2015,5390.0
AND,2024,47570.0
AND,2023,47920.0
AND,2022,47600.0
AND,2021,44720.0
AND,2020,42450.0
AND,2019,46450.0
AGO,2024,2840.0
AGO,2023,2700.0
AGO,2022,2340.0
AGO,2021,1990.0
AGO,2020,2020.0
AGO,2019,2440.0
AGO,2018,2270.0
AGO,2017,2400.0
AGO,2016,2910.0
AGO,2015,4450.0
ATG,2024,21150.0
ATG,2023,19970.0
ATG,2022,18820.0
ATG,2021,16660.0
ATG,2020,15460.0
ATG,2019,18250.0
ATG,2018,17460.0
ATG,2017,15860.0
ATG,2016,15080.0
ATG,2015,14550.0
ARG,2024,13530.0
ARG,2023,12920.0
ARG,2022,11890.0
ARG,2021,10070.0
ARG,2020,9040.0
ARG,2019,11210.0
ARG,2018,12390.0
ARG,2017,13070.0
ARG,2016,12130.0
ARG,2015,12500.0
ARM,2024,7810.0
ARM,2023,6850.0
ARM,2022,5690.0
ARM,2021,4580.0
ARM,2020,4230.0
ARM,2019,4650.0
ARM,2018,4220.0
ARM,2017,3900.0
ARM,2016,3690.0
ARM,2015,3910.0
ABW,2024,35570.0
ABW,2023,31600.0
ABW,2022,30160.0
ABW,2021,26550.0
ABW,2020,22790.0
ABW,2019,29320.0
ABW,2018,27970.0
ABW,2017,26460.0
ABW,2016,25560.0
ABW,2015,25430.0
AUS,2024,62680.0
AUS,2023,63320.0
AUS,2022,60790.0
AUS,2021,57220.0
AUS,2020,53770.0
AUS,2019,55090.0
AUS,2018,53280.0
AUS,2017,51700.0
AUS,2016,54330.0
AUS,2015,60780.0
AUT,2024,54760.0
AUT,2023,55890.0
AUT,2022,56310.0
AUT,2021,53440.0
AUT,2020,49000.0
AUT,2019,50900.0
AUT,2018,48710.0
AUT,2017,44800.0
AUT,2016,45980.0
AUT,2015,47190.0
AZE,2024,7330.0
AZE,2023,6680.0
AZE,2022,5670.0
AZE,2021,4910.0
AZE,2020,4480.0
AZE,2019,4510.0
AZE,2018,4080.0
AZE,2017,4110.0
AZE,2016,4790.0
AZE,2015,6610.0
BHS,2024,37020.0
BHS,2023,35180.0
BHS,2022,33790.0
BHS,2021,29910.0
BHS,2020,25180.0
BHS,2019,31630.0
BHS,2018,30650.0
BHS,2017,29570.0
BHS,2016,27820.0
BHS,2015,27620.0
BHR,2024,28090.0
BHR,2023,28460.0
BHR,2022,28300.0
BHR,2021,25240.0
BHR,2020,23870.0
BHR,2019,25800.0
BHR,2018,24200.0
BHR,2017,22360.0
BHR,2016,22720.0
BHR,2015,23640.0
BGD,2024,2820.0
BGD,2023,2880.0
BGD,2022,2850.0
BGD,2021,2600.0
BGD,2020,2320.0
BGD,2019,2220.0
BGD,2018,2020.0
BGD,2017,1640.0
BGD,2016,1400.0
BGD,2015,1200.0
BRB,2024,25140.0
BRB,2023,24960.0
BRB,2022,24300.0
BRB,2021,19880.0
BRB,2020,18740.0
BRB,2019,20520.0
BRB,2018,19910.0
BRB,2017,19370.0
BRB,2016,19200.0
BRB,2015,19150.0
BLR,2024,8260.0
BLR,2023,7850.0
BLR,2022,7210.0
BLR,2021,7040.0
BLR,2020,6410.0
BLR,2019,6370.0
BLR,2018,5730.0
BLR,2017,5320.0
BLR,2016,5640.0
BLR,2015,6740.0
BEL,2024,55290.0
BEL,2023,55520.0
BEL,2022,54330.0
BEL,2021,51140.0
BEL,2020,46330.0
BEL,2019,48070.0
BEL,2018,45980.0
BEL,2017,42310.0
BEL,2016,43240.0
BEL,2015,45520.0
BLZ,2024,7150.0
BLZ,2023,6850.0
BLZ,2022,6710.0
BLZ,2021,6120.0
BLZ,2020,5170.0
BLZ,2019,5850.0
BLZ,2018,5610.0
BLZ,2017,5490.0
BLZ,2016,5640.0
BLZ,2015,5790.0
BEN,2024,1430.0
BEN,2023,1390.0
BEN,2022,1360.0
BEN,2021,1280.0
BEN,2020,1190.0
BEN,2019,1170.0
BEN,2018,1120.0
BEN,2017,1020.0
BEN,2016,1040.0
BEN,2015,1100.0
BMU,2024,145150.0
BMU,2023,134500.0
BMU,2022,132200.0
BMU,2021,120410.0
BMU,2020,110960.0
BMU,2019,116920.0
BMU,2018,117160.0
BMU,2017,113460.0
BMU,2016,105430.0
BMU,2015,103940.0
BTN,2023,3730.0
BTN,2022,3600.0
BTN,2021,3300.0
BTN,2020,3040.0
BTN,2019,3370.0
BTN,2018,3150.0
BTN,2017,2960.0
BTN,2016,2880.0
BTN,2015,2740.0
BOL,2024,4160.0
BOL,2023,4230.0
BOL,2022,4190.0
BOL,2021,3990.0
BOL,2020,3620.0
BOL,2019,4170.0
BOL,2018,3730.0
BOL,2017,3250.0
BOL,2016,3000.0
BOL,2015,2920.0
BIH,2024,8790.0
BIH,2023,8280.0
BIH,2022,7710.0
BIH,2021,6970.0
BIH,2020,6160.0
BIH,2019,6180.0
BIH,2018,5720.0
BIH,2017,5070.0
BIH,2016,5070.0
BIH,2015,5140.0
BWA,2024,7750.0
BWA,2023,8360.0
BWA,2022,8250.0
BWA,2021,7530.0
BWA,2020,6600.0
BWA,2019,7520.0
BWA,2018,6680.0
BWA,2017,6210.0
BWA,2016,6060.0
BWA,2015,6140.0
BRA,2024,9930.0
BRA,2023,9310.0
BRA,2022,8440.0
BRA,2021,8060.0
BRA,2020,8080.0
BRA,2019,9410.0
BRA,2018,9320.0
BRA,2017,8830.0
BRA,2016,9050.0
BRA,2015,10330.0
