country_code,year,gdp_per_capita
MEX,2017,9649.27816772402
FSM,2017,3279.10779039285
MDA,2017,3453.26727720294
MCO,2017,170663.375247872
MNG,2017,3645.96708669551
MNE,2017,7674.2813940676
MAR,2017,3296.52661132813
MOZ,2017,470.93856305196
MMR,2017,1272.82241815234
NAM,2017,5143.96072323076
NRU,2017,9656.97976571484
NPL,2017,1034.28374906846
NLD,2017,49513.6817346384
NCL,2017,32354.7102832901
NZL,2017,42950.3841711138
NIC,2017,2182.61380995674
NER,2017,521.804130023434
NGA,2017,1876.34027111773
MKD,2017,5955.2973863451
MNP,2017,31225.6049960968
NOR,2017,76131.8384032764
OMN,2017,17820.0661809335
PAK,2017,1519.23459514248
PLW,2017,16401.7847567871
PAN,2017,15694.6297518495
PNG,2017,2477.76530986323
PRY,2017,6152.2671153779
PER,2017,6736.16693725487
PHL,2017,3038.12124959289
POL,2017,13913.3402919927
PRT,2017,21442.3842768879
PRI,2017,30328.479490518
QAT,2017,63279.8767486216
ROU,2017,10727.9822007426
RUS,2017,10658.9130859375
RWA,2017,758.300966509647
WSM,2017,4307.59381964907
SMR,2017,45192.0279766943
STP,2017,1555.79477812888
SAU,2017,23929.2907135982
SEN,2017,1356.80518449031
SRB,2017,6548.03653824187
SYC,2017,17480.3651911372
SLE,2017,779.186007841728
SGP,2017,61236.251270627
SXM,2017,34701.3058494468
SVK,2017,17645.5298716761
SVN,2017,23303.077705959
SLB,2017,2143.57670489272
SOM,2017,510.939952317726
ZAF,2017,6618.33508255701
ESP,2017,28381.3425596906
LKA,2017,4398.88828068715
KNA,2017,22464.9899633959
LCA,2017,11333.1123822102
VCT,2017,7988.04445019298
SDN,2017,966.505676269531
SUR,2017,6049.52128553675
SWE,2017,53210.2233318965
CHE,2017,82254.3769269767
SYR,2017,851.502005254153
TJK,2017,829.45714764957
TZA,2017,986.674011230469
THA,2017,6413.09182530343
TLS,2017,1266.17771143471
TGO,2017,792.765700965864
TON,2017,4365.92932788383
TTO,2017,17566.0999700656
TUN,2017,3619.03247319953
TUR,2017,10756.3877677883
TKM,2017,5828.4816623489
TCA,2017,30014.2309523213
TUV,2017,4165.66338700106
UGA,2017,765.218332297361
UKR,2017,2604.28759765625
ARE,2017,43733.6192287435
GBR,2017,40916.8115070354
USA,2017,59635.0984397965
URY,2017,19184.6502617082
UZB,2017,2190.60411562888
VUT,2017,3159.86055790126
VEN,2017,3791.33160682077
VNM,2017,2956.10992127753
VIR,2017,35365.0693039774
PSE,2017,3620.36048715937
YEM,2017,811.165970405745
ZMB,2017,1483.46577328065
ZWE,2017,3445.44941020134
AFE,2018,1552.07372194919
AFW,2018,1720.14009242722
ARB,2018,6699.18058175457
CSS,2018,13896.7409040963
CEB,2018,16227.2484719489
EAR,2018,3463.50882263375
EAS,2018,11438.8584591418
EAP,2018,8045.94630458507
TEA,2018,8136.37041895137
EMU,2018,40107.5362854643
ECS,2018,25408.6379771601
ECA,2018,5996.28775888893
TEC,2018,8911.87742979014
EUU,2018,36054.953230113
FCS,2018,1634.92965875473
HPC,2018,985.478210719267
IBD,2018,6394.19484299789
IBT,2018,5085.50217477103
IDB,2018,1869.38204447615
IDX,2018,1159.06134313704
IDA,2018,1408.95016839901
LTE,2018,9966.81160876464
LCN,2018,8778.37906311973
LAC,2018,8484.48335233409
TLA,2018,8620.46890240755
LDC,2018,1080.56177999961
LMY,2018,4853.74507668345
MEA,2018,5545.88899607591
MNA,2018,2809.30894215325
TMN,2018,2804.12633142444
MIC,2018,5248.39737081301
NAC,2018,60890.5689258698
OED,2018,39552.695671629
OSS,2018,13025.990833966
PSS,2018,4247.0901276249
PST,2018,45535.8018785923
PRE,2018,1449.85562070843
SST,2018,12057.788581183
