country_code,year,life_expectancy
MEA,2015,70.1511049169228
MNA,2023,71.2758849884582
MNA,2022,71.0055315443397
MNA,2021,68.9280214782653
MNA,2020,69.050634286622
MNA,2019,70.417484585256
MNA,2018,70.0733668958653
MNA,2017,69.8141316373328
MNA,2016,69.5328376363007
MNA,2015,69.2873263613117
TMN,2023,71.3194560888195
TMN,2022,70.965432550888
TMN,2021,68.8931032282321
TMN,2020,69.0090964026373
TMN,2019,70.3800917806817
TMN,2018,70.0368444388331
TMN,2017,69.7772409464567
TMN,2016,69.4961826399098
TMN,2015,69.2515348606398
MIC,2023,72.7428060722667
MIC,2022,72.5172020330295
MIC,2021,70.3953530328654
MIC,2020,71.5211164808267
MIC,2019,72.1892666738243
MIC,2018,71.9597989462594
MIC,2017,71.6596834645843
MIC,2016,71.4421804907715
MIC,2015,71.2070683012016
NAC,2023,78.7328213732191
NAC,2022,77.8327679594239
NAC,2021,76.8657678890549
NAC,2020,77.4498099795241
NAC,2019,79.1334134419141
NAC,2018,78.9607960728398
NAC,2017,78.8688036246685
NAC,2016,78.8800103845064
NAC,2015,79.0036254654542
OED,2023,80.1614352591851
OED,2022,79.5212545784247
OED,2021,78.5885513303119
OED,2020,78.958005085165
OED,2019,80.2450659060679
OED,2018,80.0281711116686
OED,2017,79.931058371801
OED,2016,79.8914226918913
OED,2015,79.761947694534
OSS,2023,73.5594214776897
OSS,2022,72.9049248661262
OSS,2021,71.7699719301416
OSS,2020,72.5097097789427
OSS,2019,72.6570116424877
OSS,2018,72.4217850423792
OSS,2017,72.1237658150048
OSS,2016,71.7745690542754
OSS,2015,71.4795830574543
PSS,2023,69.2745949035856
PSS,2022,69.1004348993561
PSS,2021,67.4810209240703
PSS,2020,68.3568108792759
PSS,2019,68.6421578303985
PSS,2018,68.5825887890247
PSS,2017,68.5192875005129
PSS,2016,68.2856508563666
PSS,2015,68.1166096033138
PST,2023,80.8230563837636
PST,2022,80.1977878300116
PST,2021,79.7955238788416
PST,2020,80.0658791727843
PST,2019,80.9700846681541
PST,2018,80.7442826647034
PST,2017,80.6650553844053
PST,2016,80.6112411501517
PST,2015,80.4400997313335
PRE,2023,62.1636298902791
PRE,2022,61.3832880029503
PRE,2021,60.2752505117259
PRE,2020,60.5012070014439
PRE,2019,60.5568008955552
PRE,2018,60.2074724802348
PRE,2017,59.5402350736624
PRE,2016,59.2363562400827
PRE,2015,58.93626650033
SST,2023,72.8966788653862
SST,2022,72.3794678577605
SST,2021,70.7756825891382
SST,2020,71.8255552822673
SST,2019,72.0009607335469
SST,2018,71.8640735615265
SST,2017,71.6556194082548
SST,2016,71.3759850327933
SST,2015,71.1242805019157
SAS,2023,72.3247648783903
SAS,2022,72.0115731308447
SAS,2021,67.8215299767513
SAS,2020,70.3622206982499
SAS,2019,70.9975623145981
SAS,2018,70.6523573971364
SAS,2017,70.2904723380061
SAS,2016,69.9184707063298
SAS,2015,69.5110334122263
TSA,2023,72.3247648783903
TSA,2022,72.0115731308447
TSA,2021,67.8215299767513
TSA,2020,70.3622206982499
TSA,2019,70.9975623145981
TSA,2018,70.6523573971364
TSA,2017,70.2904723380061
TSA,2016,69.9184707063298
TSA,2015,69.5110334122263
SSF,2023,62.6028071536951
SSF,2022,61.8571795894802
SSF,2021,60.7034363660672
SSF,2020,61.1675270829902
SSF,2019,61.1293218424873
SSF,2018,60.7667275136709
SSF,2017,60.1584015341066
SSF,2016,59.8121001978138
SSF,2015,59.398721466191
SSA,2023,62.0653555476155
SSA,2022,61.2833535992957
SSA,2021,60.1774746494858
SSA,2020,60.6222294256854
SSA,2019,60.6065912895076
SSA,2018,60.2582610385453
SSA,2017,59.6367115940116
SSA,2016,59.3199433875513
SSA,2015,58.9244569362249
TSS,2023,62.6028071536951
TSS,2022,61.8571795894802
TSS,2021,60.7034363660672
TSS,2020,61.1675270829902
TSS,2019,61.1293218424873
TSS,2018,60.7667275136709
TSS,2017,60.1584015341065
TSS,2016,59.8121001978138
TSS,2015,59.398721466191
WLD,2023,73.3289501544845
WLD,2022,72.9682902550636
WLD,2021,71.2152192461602
WLD,2020,72.1819792006819
WLD,2019,72.8686568501624
WLD,2018,72.6433904952398
WLD,2017,72.3651515431591
WLD,2016,72.1847345079995
WLD,2015,71.9646261474589
AFG,2023,66.035
AFG,2022,65.617
AFG,2021,60.417
AFG,2020,61.454
AFG,2019,62.941
AFG,2018,62.443
AFG,2017,62.406
AFG,2016,62.646
AFG,2015,62.27
